"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"143992000";"Земельный участок";"28:12:021202";2400;"Договор купли-продажи";"06.2016";"06.2016";433026,00;180,43;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10221840001";"Амурская область";"Завитинский";;"Куприяновка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6472853344
"6093008";"Земельный участок";"28:25:010716";6344;"Договор купли-продажи";"06.2016";"06.2016";583026,00;91,90;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251812001";"Амурская область";"Тамбовский";;"Козьмодемьяновка";"Супруна";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6472853345
"134541000";"Земельный участок";"28:11:010834";1000;"Договор купли-продажи";"06.2016";"06.2016";291600,00;291,60;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"50 лет Амурского Комсомола";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6472853348
"263006002";"Земельный участок";"28:23:020713";1143;"Договор купли-продажи";"11.2015";"11.2015";676512,00;591,87;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6472853350
"6093008";"Земельный участок";"28:25:010716";6344;"Договор купли-продажи";"06.2016";"06.2016";583026,00;91,90;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251812001";"Амурская область";"Тамбовский";;"Козьмодемьяновка";"Супруна";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6472853361
"39632008";"Земельный участок";"28:25:011006";2700000;"Договор купли-продажи";"12.2015";"06.2016";200000,00;0,07;"90 га";"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Ипотека";;;"10251000000";"Амурская область";"Тамбовский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6472853364
"134541000";"Земельный участок";"28:11:010834";1000;"Договор купли-продажи";"06.2016";"06.2016";291600,00;291,60;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"50 лет Амурского Комсомола";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6472853378
"13335111";"Земельный участок";"28:16:015215";1270;"Договор купли-продажи";"12.2013";"12.2013";378947,55;298,38;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10231551000";"Амурская область";"Магдагачинский";;"Магдагачи";"Нагорная";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6472853386
"143992000";"Земельный участок";"28:12:021202";2400;"Договор купли-продажи";"06.2016";"06.2016";433026,00;180,43;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10221840001";"Амурская область";"Завитинский";;"Куприяновка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6472853407
"31783008";"Земельный участок";"28:25:010104";1162;"Договор купли-продажи";"06.2016";"06.2016";500000,00;430,29;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251856001";"Амурская область";"Тамбовский";;"Тамбовка";;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6472853408
