"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"6897003";"Земельный участок";"28:08:011115";606;"Договор купли-продажи";"10.2015";"10.2015";453026,00;747,57;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10205551000";"Амурская область";"Архаринский";;"Архара";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450126313
"129762002";"Земельный участок";"28:02:000665";567;"Договор купли-продажи";"06.2013";"06.2013";1550000,00;2733,69;"1/7";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10410000000";"Амурская область";;"Белогорск";;"Свободная";;14;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450126323
"404008";"Земельный участок";"28:25:011205";1569;"Договор купли-продажи";"03.2014";"03.2014";1620000,00;1032,50;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251808001";"Амурская область";"Тамбовский";;"Жариково";"Октябрьская";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6450126332
"56046008";"Земельный участок";"28:25:010226";2346;"Договор купли-продажи";"10.2015";"10.2015";433026,00;184,58;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251856001";"Амурская область";"Тамбовский";;"Тамбовка";"Техническая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450126337
"30954008";"Земельный участок";"28:15:011405";5100;"Договор купли-продажи";"09.2012";"10.2012";270500,00;53,04;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10230820001";"Амурская область";"Константиновский";;"Коврижка";;;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450126346
"51120008";"Земельный участок";"28:25:011805";2100;"Договор купли-продажи";"03.2013";"04.2013";500000,00;238,10;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251832001";"Амурская область";"Тамбовский";;"Муравьевка";"Садовая";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450126351
"161859002";"Земельный участок";"28:23:020835";323;"Договор купли-продажи";"10.2013";"10.2013";378947,55;1173,21;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450126360
"41305005";"Земельный участок";"28:13:032505";1500;"Договор купли-продажи";"06.2011";"07.2011";400000,00;266,67;;"Земли населенных пунктов";;;;"Без обременения";;;"10225852003";"Амурская область";"Зейский";;"Заречная Слобода";"Лесная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450126374
"261269001";"Земельный участок";"28:01:010182";743;"Договор купли-продажи";"09.2012";"09.2012";5600000,00;7537,01;"12/30";"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450126381
"12859002";"Земельный участок";"28:23:010703";3300;"Договор купли-продажи";"01.2015";"02.2015";437194,22;132,48;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10247844001";"Амурская область";"Серышевский";;"Поляна";"Первомайская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6450126382
"2213008";"Земельный участок";"28:25:011711";4681,25;"Договор купли-продажи";"02.2014";"02.2014";357000,00;76,26;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251816002";"Амурская область";"Тамбовский";;"Корфово";"Набережная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450126394
"61863001";"Земельный участок";"28:01:010122";523;"Договор купли-продажи";"11.2012";"11.2012";4148000,00;7931,17;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"10401000000";"Амурская область";;"Благовещенск";;;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6450126406
"1996002";"Земельный участок";"28:23:010502";2058;"Договор купли-продажи";"07.2014";"07.2014";1050000,00;510,20;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247840002";"Амурская область";"Серышевский";;"Белоногово";"Набережная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6450126409
"4499005";"Земельный участок";"28:03:010011";792;"Договор купли-продажи";"06.2003";"06.2003";8000,00;10,10;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";;;"10412000000";"Амурская область";;"Зея";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6450126417
