"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"10594006";"Земельный участок";"87:01:050001";700;"Договор купли-продажи";"04.2010";"08.2010";10000,00;14,29;;"Земли населенных пунктов";;;;"Без обременения";;;"77209000000";"Чукотский автономный округ";"Билибинский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448603471
"15493006";"Земельный участок";"87:01:070001";904;"Договор купли-продажи";"04.2013";"04.2013";393239,42;435,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"77209000000";"Чукотский автономный округ";"Билибинский";;;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448603511
"5648004";"Земельный участок";"87:05:000009";1537;"Договор купли-продажи";"04.2011";"07.2011";1200000,00;780,74;"1/10";"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6448603688
"1145004";"Земельный участок";"87:05:000006";6650;"Договор купли-продажи";"03.2012";"03.2012";100000,00;15,04;;"Земли населенных пунктов";;;;"Без обременения";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6448603843
"94256004";"Земельный участок";"87:05:000006";2559;"Договор купли-продажи";"12.2014";"01.2015";1734385,00;677,76;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6448603920
"15663004";"Земельный участок";"87:05:000006";90;"Договор купли-продажи";"10.2014";"11.2014";1020000,00;11333,33;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6448605407
"15493006";"Земельный участок";"87:01:070001";904;"Договор купли-продажи";"04.2013";"04.2013";393239,42;435,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"77209000000";"Чукотский автономный округ";"Билибинский";;;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448605514
"15493006";"Земельный участок";"87:01:070001";904;"Договор купли-продажи";"04.2013";"04.2013";393239,42;435,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"77209000000";"Чукотский автономный округ";"Билибинский";;;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448606216
"23294004";"Земельный участок";"87:05:000005";2075;"Договор купли-продажи";"12.2013";"04.2014";3213000,00;1548,43;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448606302
"4900004";"Земельный участок";"87:05:000006";758;"Договор купли-продажи";"07.2011";"07.2011";1000000,00;1319,26;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6448607696
"36045004";"Земельный участок";"87:05:000003";932;"Договор купли-продажи";"06.2012";"07.2012";612814,16;657,53;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448607807
"15976004";"Земельный участок";"87:05:000013";90;"Договор купли-продажи";"09.2014";"09.2014";600000,00;6666,67;;"Земли населенных пунктов";;;;"Ипотека";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;"Отке";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6448610175
"1067004";"Земельный участок";"87:05:000008";949;"Договор купли-продажи";"07.2004";"07.2005";325,00;0,34;;"Земли населенных пунктов";;;;"Без обременения";;;"77401000000";"Чукотский автономный округ";;"Анадырь";;"Беринга";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6468731311
"91523004";"Земельный участок";"87:04:090002";200;"Договор купли-продажи";"07.2016";"09.2016";300000,00;1500,00;"1/10";"Земли населенных пунктов";;;;"Ипотека";;;"77203557000";"Чукотский автономный округ";"Анадырский";;"Угольные Копи";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475927310
"91523004";"Земельный участок";"87:04:090002";200;"Договор купли-продажи";"07.2016";"09.2016";300000,00;1500,00;"1/10";"Земли населенных пунктов";;;;"Ипотека";;;"77203557000";"Чукотский автономный округ";"Анадырский";;"Угольные Копи";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475927312
"91523004";"Земельный участок";"87:04:090002";200;"Договор купли-продажи";"07.2016";"09.2016";300000,00;1500,00;"1/10";"Земли населенных пунктов";;;;"Ипотека";;;"77203557000";"Чукотский автономный округ";"Анадырский";;"Угольные Копи";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475927315
"91523004";"Земельный участок";"87:04:090002";200;"Договор купли-продажи";"07.2016";"09.2016";300000,00;1500,00;"5/10";"Земли населенных пунктов";;;;"Ипотека";;;"77203557000";"Чукотский автономный округ";"Анадырский";;"Угольные Копи";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475927319
