"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"628314020";"Земельный участок";"27:23:0050840";2175;"Договор купли-продажи";"10.2010";"11.2010";29481400,00;13554,67;"42/100";"Земли населенных пунктов";;;;"Ипотека";;;"08401365000";"Хабаровский край";;"Хабаровск";;"Суворова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6435745024
"101076020";"Земельный участок";"27:17:0301707";2830;"Договор купли-продажи";"10.2007";"10.2007";990000,00;349,82;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08255000039";"Хабаровский край";"Хабаровский";;"Матвеевка";"Центральная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6435745106
"185580020";"Земельный участок";"27:09:0000104";986,55;"Договор купли-продажи";"03.2006";"03.2006";10,31;0,01;;"Земли населенных пунктов";;;;"Без обременения";;;"08228000001";"Хабаровский край";"Нанайский";;"Троицкое";"Октябрьская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6435745148
"2081003";"Земельный участок";"27:14:0010303";989;"Договор купли-продажи";"10.2000";"10.2000";500,00;0,51;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"08244000015";"Хабаровский край";"Солнечный";;"Кондон";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6435745198
"432887020";"Земельный участок";"27:17:0625001";11000;"Договор купли-продажи";"05.2014";"05.2014";93875000,00;8534,09;;"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Ипотека";;;"08255000034";"Хабаровский край";"Хабаровский";;"Краснореченское";;;59;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6435745201
"456570020";"Земельный участок";"27:08:0010316";1710;"Договор купли-продажи";"05.2014";"05.2014";650000,00;380,12;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08224557000";"Хабаровский край";"Имени Лазо";;"Хор";"Калинина";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6435745260
"1037583020";"Земельный участок";"27:17:0300201";1772;"Договор купли-продажи";"10.2012";"11.2012";1000000,00;564,33;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"08255000000";"Хабаровский край";"Хабаровский";;"Виноградовка";"Речная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6435745302
"4220020";"Земельный участок";"27:17:0301706";2000;"Договор купли-продажи";"06.2001";"06.2001";400000,00;200,00;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"08255000039";"Хабаровский край";"Хабаровский";;"Матвеевка";"Взлетная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6435746321
"10001020";"Земельный участок";"27:17:0400505";3543,8;"Договор купли-продажи";"05.2012";"05.2012";2000000,00;564,37;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08255000029";"Хабаровский край";"Хабаровский";;"Князе-Волконское";"Партизанская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6435746376
"483602020";"Земельный участок";"27:17:0301903";1500;"Договор купли-продажи";"11.2014";"11.2014";1870000,00;1246,67;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08255000041";"Хабаровский край";"Хабаровский";;"Мичуринское";"Абрикосовая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6435746427
