"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"185565024";"Земельный участок";"79:01:0200040";1979;"Договор купли-продажи";"03.2016";"03.2016";5800000,00;2930,77;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Пионерская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6469760313
"185565024";"Земельный участок";"79:01:0200040";1979;"Договор купли-продажи";"03.2016";"03.2016";5800000,00;2930,77;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Пионерская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6469760318
"206771024";"Земельный участок";"79:04:3200002";1376;"Договор купли-продажи";"03.2016";"03.2016";434000,00;315,41;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205840001";"Еврейская автономная область";"Биробиджанский";;"Найфельд";"Молодежная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6469760325
"206771024";"Земельный участок";"79:04:3200002";1376;"Договор купли-продажи";"03.2016";"03.2016";434000,00;315,41;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205840001";"Еврейская автономная область";"Биробиджанский";;"Найфельд";"Молодежная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6469760329
"950309024";"Земельный участок";"79:01:0200040";667;"Договор купли-продажи";"03.2016";"03.2016";4000000,00;5997,00;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Пионерская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6469760331
"165363024";"Земельный участок";"79:04:3300001";3300;"Договор купли-продажи";"03.2016";"03.2016";454000,00;137,58;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99205805003";"Еврейская автономная область";"Биробиджанский";;"Опытное поле";"40 лет Победы";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6469760335
"12754024";"Земельный участок";"79:05:2400053";1000;"Договор купли-продажи";"03.2016";"03.2016";1200000,00;1200,00;;"Земли населенных пунктов";;;;"Ипотека";;;"99220501000";"Еврейская автономная область";"Облученский";"Облучье";;"Ключевая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6469825284
"491413024";"Земельный участок";"79:06:3300015";1249;"Договор купли-продажи";"03.2016";"03.2016";500000,00;400,32;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230565000";"Еврейская автономная область";"Смидовичский";;"Приамурский";"Силикатная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6469825287
"7229024";"Земельный участок";"79:06:4000007";2497;"Договор купли-продажи";"03.2016";"03.2016";722500,00;289,35;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6470005317
"1276201024";"Земельный участок";"79:01:0100017";120;"Договор купли-продажи";"01.2016";"03.2016";1100000,00;9166,67;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Лукашова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6470051310
"4066024";"Земельный участок";"79:06:3200027";1500;"Договор купли-продажи";"03.2016";"03.2016";950000,00;633,33;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6470051321
"207179024";"Земельный участок";"79:01:0300003";633;"Договор купли-продажи";"03.2016";"03.2016";10800000,00;17061,61;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Шолом-Алейхема";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6470110312
"195436024";"Земельный участок";"79:06:3200034";777;"Договор купли-продажи";"03.2016";"03.2016";1363400,00;1754,70;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99230560000";"Еврейская автономная область";"Смидовичский";;"Николаевка";"Комсомольская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6470176324
"1003160024";"Земельный участок";"79:04:2500003";1170;"Договор купли-продажи";"03.2016";"04.2016";1000000,00;854,70;;"Земли населенных пунктов";;;;"Ипотека";;;"99205820001";"Еврейская автономная область";"Биробиджанский";;"Дубовое";"Рабочий";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470280318
"216912024";"Земельный участок";"79:02:1400004";2200;"Договор купли-продажи";"03.2016";"04.2016";399779,15;181,72;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99225835002";"Еврейская автономная область";"Октябрьский";;"Благословенное";"Полевая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6470324310
"216912024";"Земельный участок";"79:02:1400004";2200;"Договор купли-продажи";"03.2016";"04.2016";399779,15;181,72;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99225835002";"Еврейская автономная область";"Октябрьский";;"Благословенное";"Полевая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6470324325
"216912024";"Земельный участок";"79:02:1400004";2200;"Договор купли-продажи";"03.2016";"04.2016";399779,15;181,72;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99225835002";"Еврейская автономная область";"Октябрьский";;"Благословенное";"Полевая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6470324329
"216912024";"Земельный участок";"79:02:1400004";2200;"Договор купли-продажи";"03.2016";"04.2016";399779,15;181,72;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99225835002";"Еврейская автономная область";"Октябрьский";;"Благословенное";"Полевая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6470324335
"438928024";"Земельный участок";"79:06:3300029";887;"Договор купли-продажи";"03.2016";"04.2016";1000000,00;1127,40;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230565000";"Еврейская автономная область";"Смидовичский";;"Приамурский";"Вокзальная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6470375310
"17509024";"Земельный участок";"79:01:0500035";1899;"Договор купли-продажи";"03.2016";"04.2016";2739633,95;1442,67;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Камская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470375320
"17509024";"Земельный участок";"79:01:0500035";1899;"Договор купли-продажи";"03.2016";"04.2016";190000,00;100,05;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Камская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470375321
"1006499024";"Земельный участок";"79:01:0500048";704;"Договор купли-продажи";"03.2016";"04.2016";800000,00;1136,36;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Кавказская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470375323
"1006499024";"Земельный участок";"79:01:0500048";704;"Договор купли-продажи";"03.2016";"04.2016";800000,00;1136,36;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Кавказская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470375327
"190178024";"Земельный участок";"79:03:0400003";120369;"Договор купли-продажи";"08.2011";"08.2011";1462925,60;12,15;;"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Без обременения";;;"99210812004";"Еврейская автономная область";"Ленинский";;"Преображеновка";"Школьный";;41;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6470482319
"101933024";"Земельный участок";"79:04:3600021";1826;"Договор купли-продажи";"04.2016";"04.2016";2766326,00;1514,97;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205845001";"Еврейская автономная область";"Биробиджанский";;"Птичник";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470629315
"101933024";"Земельный участок";"79:04:3600021";1826;"Договор купли-продажи";"04.2016";"04.2016";2766326,00;1514,97;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205845001";"Еврейская автономная область";"Биробиджанский";;"Птичник";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470629316
"101933024";"Земельный участок";"79:04:3600021";1826;"Договор купли-продажи";"04.2016";"04.2016";2766326,00;1514,97;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205845001";"Еврейская автономная область";"Биробиджанский";;"Птичник";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470629326
