"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"28941024";"Земельный участок";"79:01:0300029";1000;"Договор купли-продажи";"10.2008";"10.2008";321840,00;321,84;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Стяжкина";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6432263796
"230476024";"Земельный участок";"79:06:3100001";870;"Договор купли-продажи";"04.2015";"04.2015";1000000,00;1149,43;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432263813
"142020024";"Земельный участок";"79:04:2200009";2500;"Договор купли-продажи";"05.2010";"05.2010";3000000,00;1200,00;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99205812001";"Еврейская автономная область";"Биробиджанский";;"Валдгейм";"Центральная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432263948
"476429024";"Земельный участок";"79:01:0403006";604;"Договор купли-продажи";"07.2015";"07.2015";100000,00;165,56;"1/4";"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432263989
"775728024";"Земельный участок";"79:01:0100043";761;"Договор купли-продажи";"07.2014";"08.2014";414402,00;544,55;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Транспортная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6432264019
"583424024";"Земельный участок";"79:06:1100002";504493;"Договор купли-продажи";"05.2013";"05.2013";22000,00;0,04;"1/10";"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Без обременения";;;"99230551001";"Еврейская автономная область";"Смидовичский";;"Песчаное";"40 лет Победы";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432264099
"30293024";"Земельный участок";"79:06:3300050";1200;"Договор купли-продажи";"10.2011";"10.2011";50000,00;41,67;"1/7";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99230565000";"Еврейская автономная область";"Смидовичский";;"Приамурский";"Садовая";;7;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6432264119
"41000024";"Земельный участок";"79:01:0100060";1044;"Договор купли-продажи";"08.2012";"08.2012";1000000,00;957,85;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Смидовичская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6432264145
"31361024";"Земельный участок";"79:06:3400006";920;"Договор купли-продажи";"02.2012";"02.2012";387640,30;421,35;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432264154
"112333024";"Земельный участок";"79:04:2600004";2379;"Договор купли-продажи";"11.2007";"11.2007";315000,00;132,41;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205812006";"Еврейская автономная область";"Биробиджанский";;"Желтый Яр";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6432264163
"43469024";"Земельный участок";"79:05:3500009";1315;"Договор купли-продажи";"06.2013";"07.2013";409000,00;311,03;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99220553000";"Еврейская автономная область";"Облученский";;"Бира";"Онищенко";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6432264190
"154413024";"Земельный участок";"79:03:2600055";870;"Договор купли-продажи";"06.2010";"06.2010";500000,00;574,71;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99210860001";"Еврейская автономная область";"Ленинский";;"Ленинское";"Ленина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432264202
"164212024";"Земельный участок";"79:01:0100018";600;"Договор купли-продажи";"12.2013";"12.2013";515000,00;858,33;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Майская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6432264247
"143871024";"Земельный участок";"79:01:0100045";1179;"Договор купли-продажи";"07.2015";"09.2015";600000,00;508,91;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Морская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432264293
"25177024";"Земельный участок";"79:04:2200009";1110;"Договор купли-продажи";"10.2012";"10.2012";850000,00;765,77;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99205812001";"Еврейская автономная область";"Биробиджанский";;"Валдгейм";"Центральная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6432264297
"1016024";"Земельный участок";"79:06:4200002";2500;"Договор купли-продажи";"12.2014";"12.2014";1500000,00;600,00;"1/4";"Земли населенных пунктов";;;;"Ипотека";33,8;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6432287324
"127375024";"Земельный участок";"79:01:0500033";967;"Договор купли-продажи";"11.2010";"11.2010";844978,00;873,81;;"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Пархоменко";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6432287383
"140780024";"Земельный участок";"79:01:0200029";1020,9;"Договор купли-продажи";"10.2014";"10.2014";500000,00;489,76;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Левобережная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432287393
"21271024";"Земельный участок";"79:04:2000005";780;"Договор купли-продажи";"07.2014";"07.2014";400000,00;512,82;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"99205805001";"Еврейская автономная область";"Биробиджанский";;"Бирофельд";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6432287396
"495148024";"Земельный участок";"79:04:2800006";2400;"Договор купли-продажи";"10.2012";"10.2012";1000,00;0,42;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99205845002";"Еврейская автономная область";"Биробиджанский";;"Кирга";"Центральная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432287452
"14404024";"Земельный участок";"79:03:2600055";717;"Договор купли-продажи";"03.2009";"04.2009";500000,00;697,35;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99210860001";"Еврейская автономная область";"Ленинский";;"Ленинское";"Ленина";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6432287512
"130394024";"Земельный участок";"79:01:0300011";1193;"Договор купли-продажи";"08.2011";"08.2011";650000,00;544,84;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99401000000";"Еврейская автономная область";;"Биробиджан";;"Кавалерийская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6432287539
"136520024";"Земельный участок";"79:03:2600029";1010;"Договор купли-продажи";"12.2014";"12.2014";49999,08;49,50;;"Земли населенных пунктов";;;;"Ипотека";;;"99210860001";"Еврейская автономная область";"Ленинский";;"Ленинское";"Октябрьская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432287545
"671771024";"Земельный участок";"79:05:3500009";1793;"Договор купли-продажи";"11.2012";"11.2012";359191,99;200,33;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"99220553000";"Еврейская автономная область";"Облученский";;"Бира";"Онищенко";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6432287571
"136520024";"Земельный участок";"79:03:2600029";1010;"Договор купли-продажи";"12.2014";"12.2014";49999,08;49,50;;"Земли населенных пунктов";;;;"Ипотека";;;"99210860001";"Еврейская автономная область";"Ленинский";;"Ленинское";"Октябрьская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6432287605
"11872024";"Земельный участок";"79:06:2717002";1200;"Договор купли-продажи";"07.2001";"08.2001";4000,00;3,33;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6432287616
"158081024";"Земельный участок";"79:06:2703002";930;"Договор купли-продажи";"03.2013";"04.2013";220000,00;236,56;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"99230000000";"Еврейская автономная область";"Смидовичский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6432287625
"951367024";"Земельный участок";"79:04:3600009";4780;"Договор купли-продажи";"03.2014";"03.2014";617958,00;129,28;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"99205845001";"Еврейская автономная область";"Биробиджанский";;"Птичник";"Советская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6432287627
