"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"113755020";"Земельный участок";"41:01:0010115";1250;"Договор купли-продажи";"06.2014";"07.2014";40000000,00;32000,00;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Березовая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6448440645
"2646001";"Земельный участок";"41:05:0101090";10000;"Договор купли-продажи";"06.2001";"07.2001";5000,00;0,50;"1/2";"Земли сельскохозяйственного назначения";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448440673
"146915020";"Земельный участок";"41:01:0010126";1052;"Договор купли-продажи";"05.2014";"05.2014";1480000,00;1406,84;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Авиаторов";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6448440685
"21251020";"Земельный участок";"41:02:0010104";579;"Договор купли-продажи";"11.2001";"12.2001";1801,00;3,11;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30535000000";"Камчатский край";;"Вилючинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448440696
"19314001";"Земельный участок";"41:05:0101055";500;"Договор купли-продажи";"12.2000";"01.2001";1000,00;2,00;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448440729
"462774020";"Земельный участок";"41:01:0010117";657;"Договор купли-продажи";"11.2012";"12.2012";200000,00;304,41;;"Земли населенных пунктов";;;;"Без обременения";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Макарова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448440733
"41576001";"Земельный участок";"41:05:0101073";2700;"Договор купли-продажи";"09.2013";"09.2013";4850000,00;1796,30;;"Земли населенных пунктов";;;;"Ипотека";;;"30207000013";"Камчатский край";"Елизовский";;"Нагорный";"Шоссейная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6448440832
"5646001";"Земельный участок";"41:06:140547";504;"Договор купли-продажи";"09.2001";"10.2001";2000,00;3,97;;"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448440870
"1648001";"Земельный участок";"41:05:0101069";500;"Договор купли-продажи";"03.2000";"04.2000";5000,00;10,00;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6448440875
"47851020";"Земельный участок";"41:09:0010109";1348;"Договор купли-продажи";"12.2013";"12.2013";1204000,00;893,18;;"Земли населенных пунктов";;;;"Ипотека";;;"30219000002";"Камчатский край";"Усть-Камчатский";;"Ключи";"Стахановская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448440879
