"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"1394001";"Земельный участок";"41:05:0101064";1008;"Договор купли-продажи";"06.2000";"07.2000";1000,00;0,99;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6448307313
"189419020";"Земельный участок";"41:01:0010129";659;"Договор купли-продажи";"11.2009";"08.2010";20000000,00;30349,01;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;68;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307315
"189419020";"Земельный участок";"41:01:0010129";659;"Договор купли-продажи";"11.2009";"08.2010";40000000,00;60698,03;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;68;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307322
"189419020";"Земельный участок";"41:01:0010129";659;"Договор купли-продажи";"11.2009";"08.2010";40000000,00;60698,03;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;68;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307365
"51233001";"Земельный участок";"41:05:0101007";1000;"Договор купли-продажи";"05.2014";"06.2014";3222752,00;3222,75;"1/8";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"30402000000";"Камчатский край";"Елизовский";"Елизово";;"Весенняя";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6448307376
"189128020";"Земельный участок";"41:01:0010129";14462;"Договор купли-продажи";"11.2009";"08.2010";40000000,00;2765,87;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;68;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307421
"10987001";"Земельный участок";"41:05:0101049";500;"Договор купли-продажи";"08.1999";"08.1999";2000,00;4,00;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6448307422
"271763020";"Земельный участок";"41:05:0101099";1306;"Договор купли-продажи";"05.2014";"06.2014";2536009,00;1941,81;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"30207000020";"Камчатский край";"Елизовский";;"Термальный";"Дачная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6448307446
"189128020";"Земельный участок";"41:01:0010129";14462;"Договор купли-продажи";"11.2009";"08.2010";40000000,00;2765,87;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;67;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307447
"5107001";"Земельный участок";"41:05:0101039";999;"Договор купли-продажи";"10.2001";"10.2001";15000,00;15,02;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448307464
"14105001";"Земельный участок";"41:05:0101032";1800;"Договор купли-продажи";"06.2004";"07.2004";16000,00;8,89;;"Земли населенных пунктов";;;;"Ипотека";;;"30207000002";"Камчатский край";"Елизовский";;"Коряки";"Лесная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6448307479
"624305020";"Земельный участок";"41:08:0010110";15974;"Договор купли-продажи";"09.2013";"01.2014";200000000,00;12520,35;;"Земли населенных пунктов";;;;"Ипотека";;;"30216000008";"Камчатский край";"Усть-Большерецкий";;"Октябрьский";"Пушкинская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448307515
"7756001";"Земельный участок";"41:05:0101073";2400;"Договор купли-продажи";"08.2014";"08.2014";4055494,93;1689,79;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"30207000013";"Камчатский край";"Елизовский";;"Нагорный";"Новая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6448307521
"189204020";"Земельный участок";"41:01:0010129";887;"Договор купли-продажи";"11.2009";"08.2010";40000000,00;45095,83;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;68;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307601
"950001";"Земельный участок";"41:05:0101028";600;"Договор купли-продажи";"05.2000";"06.2000";15000,00;25,00;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6448307616
"13158020";"Земельный участок";"41:01:010110";1200;"Договор купли-продажи";"02.2001";"03.2001";20000,00;16,67;;"Земли населенных пунктов";;;;"Без обременения";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Чавычная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448307619
"19026001";"Земельный участок";"41:05:0101067";1000;"Договор купли-продажи";"04.2001";"05.2001";8000,00;8,00;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6448307632
"189204020";"Земельный участок";"41:01:0010129";887;"Договор купли-продажи";"11.2009";"08.2010";35000000,00;39458,85;;"Земли населенных пунктов";;;;"Ипотека";;;"30401000000";"Камчатский край";;"Петропавловск-Камчатский";;"Сахалинская";;67;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448307651
"347085020";"Земельный участок";"41:05:0101054";900;"Договор купли-продажи";"12.2015";"12.2015";2000000,00;2222,22;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6448307661
"405001";"Земельный участок";"41:05:0101071";600;"Договор купли-продажи";"10.2000";"11.2000";5000,00;8,33;;"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"30207000000";"Камчатский край";"Елизовский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6448307672
