"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"174539020";"Земельный участок";"49:09:031403";404;"Договор купли-продажи";"05.2011";"05.2011";15256,00;37,76;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6449245268
"40642020";"Земельный участок";"49:09:030132";2226;"Договор купли-продажи";"01.2008";"01.2008";10732,10;4,82;;"Земли населенных пунктов";;;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6449258318
"98494020";"Земельный участок";"49:09:031007";1078;"Договор купли-продажи";"06.2007";"06.2007";10423,54;9,67;;"Земли населенных пунктов";;;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6449258345
"155113020";"Земельный участок";"49:09:030603";873;"Договор купли-продажи";"06.2011";"06.2011";1927200,00;2207,56;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"44401000000";"Магаданская область";;"Магадан";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449258396
"139405020";"Земельный участок";"49:09:031604";526;"Договор купли-продажи";"07.2013";"07.2013";67,86;0,13;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449258415
"18902020";"Земельный участок";"49:01:020101";1780;"Договор купли-продажи";"12.2014";"01.2015";397894,93;223,54;"1/12";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"44201551000";"Магаданская область";"Ольский";;"Ола";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6449258471
"33407020";"Земельный участок";"49:09:030704";2381;"Договор купли-продажи";"08.2009";"08.2009";753,23;0,32;;"Земли населенных пунктов";;;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6449258713
"93868020";"Земельный участок";"49:09:030119";122;"Договор купли-продажи";"01.2007";"01.2007";3672,78;30,10;;"Земли населенных пунктов";;;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6449258729
"18151020";"Земельный участок";"49:09:031405";7338;"Договор купли-продажи";"11.2006";"11.2006";44715,90;6,09;;"Земли населенных пунктов";;;;"Без обременения";;;"44401000000";"Магаданская область";;"Магадан";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6449258789
"196590020";"Земельный участок";"49:09:040101";1195;"Договор купли-продажи";"07.2012";"07.2012";90000,00;75,31;;"Земли сельскохозяйственного назначения";"Для ведения крестьянского (фермерского) хозяйства";;;"Ипотека";;;"44401000000";"Магаданская область";;"Магадан";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449258882
