"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"52217006";"Земельный участок";"25:27:030106";978;"Договор купли-продажи";"11.2010";"12.2010";1000000,00;1022,49;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Крылова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6453395964
"16213019";"Земельный участок";"25:22:120001";1319,71;"Договор купли-продажи";"10.2010";"10.2010";300000,00;227,32;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"05253558000";"Приморский край";"Черниговский";;"Сибирцево";"Дзержинского";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6453395994
"223804001";"Земельный участок";"25:28:050018";1389;"Договор купли-продажи";"11.2011";"12.2011";3700000,00;2663,79;;"Земли населенных пунктов";;;;"Без обременения";;;"05401372000";"Приморский край";;"Владивосток";;"Малиновая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6453396058
"56790004";"Земельный участок";"25:16:290101";3034;"Договор купли-продажи";"07.2010";"08.2010";5000,00;1,65;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"05237000008";"Приморский край";"Спасский";;"Воскресенка";"Авиаторская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6453396081
"95961006";"Земельный участок";"25:27:030202";695;"Договор купли-продажи";"09.2011";"10.2011";1000000,00;1438,85;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Свердлова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6453396182
"79997006";"Земельный участок";"25:27:070201";1200;"Договор купли-продажи";"09.2009";"09.2009";998000,00;831,67;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Морская 2-я";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6453396188
"50366018";"Земельный участок";"25:31:010405";668;"Договор купли-продажи";"02.2013";"02.2013";500000,00;748,50;"1/3";"Земли населенных пунктов";;;;"Без обременения";;;"05414000000";"Приморский край";;"Находка";;"Шевченко";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6453396193
"189775002";"Земельный участок";"25:05:140101";5000;"Договор купли-продажи";"02.2014";"02.2014";1000,00;0,20;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"05212000020";"Приморский край";"Кировский";;"Руновка";"Восточная";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6453397313
"76383012";"Земельный участок";"25:18:050101";1940;"Договор купли-продажи";"05.2008";"06.2008";760000,00;391,75;;"Земли населенных пунктов";;;;"Ипотека";;;"05423000003";"Приморский край";;"Уссурийск";"Баневурово";"Новая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6453397331
"82496023";"Земельный участок";"25:25:220002";2300;"Договор купли-продажи";"01.2011";"01.2011";115000,00;50,00;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"05259000018";"Приморский край";"Яковлевский";;"Сысоевка";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6453397355
"183069012";"Земельный участок";"25:34:016201";1245;"Договор купли-продажи";"06.2011";"07.2011";200000,00;160,64;;"Земли населенных пунктов";;;;"Без обременения";;;"05423000000";"Приморский край";;"Уссурийск";;"Борисовская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6453397399
"346965006";"Земельный участок";"25:27:010042";628;"Договор купли-продажи";"05.2015";"06.2015";50000,00;79,62;"1/4";"Земли сельскохозяйственного назначения";;;;"Ипотека";;;"05405000000";"Приморский край";;"Артем";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6453397450
