"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"74002009";"Земельный участок";"25:03:110001";1670;"Договор купли-продажи";"10.2011";"11.2011";54000,00;32,34;;"Земли населенных пунктов";;;;"Без обременения";;;"05407000006";"Приморский край";;"Дальнегорск";"Мономахово";"Садовая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6451535388
"79326002";"Земельный участок";"25:30:020402";600;"Договор купли-продажи";"08.2011";"08.2011";360000,00;600,00;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"05411000000";"Приморский край";;"Лесозаводск";;"Волочаевская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6451535407
"119415012";"Земельный участок";"25:18:310101";2036;"Договор купли-продажи";"01.2012";"02.2012";950000,00;466,60;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"05423000027";"Приморский край";;"Уссурийск";"Новоникольск";"Колхозная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6451535415
"37392004";"Земельный участок";"25:32:010201";1214;"Договор купли-продажи";"02.2009";"03.2009";1000,00;0,82;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"05420000000";"Приморский край";;"Спасск-Дальний";;"Вокзальная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6451535457
"30532020";"Земельный участок";"25:10:180003";977;"Договор купли-продажи";"01.2010";"02.2010";680000,00;696,01;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"05223000013";"Приморский край";"Надеждинский";;"Вольно-Надеждинское";"Железнодорожная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6451535534
"18604010";"Земельный участок";"25:04:110016";1686;"Договор купли-продажи";"01.2007";"02.2007";150000,00;88,97;"3/4";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"05210000008";"Приморский край";"Кавалеровский";;"Рудный";"Партизанская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6451535550
"54208023";"Земельный участок";"25:26:030101";1066,2;"Договор купли-продажи";"06.2011";"06.2011";800000,00;750,33;;"Земли населенных пунктов";;;;"Ипотека";;;"05403000000";"Приморский край";;"Арсеньев";;"Пушкинская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6451535562
"31300014";"Земельный участок";"25:33:180114";1200;"Договор купли-продажи";"04.2008";"04.2008";950000,00;791,67;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"05417000000";"Приморский край";;"Партизанск";;"М.Горького";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6451535611
"35179002";"Земельный участок";"25:30:020102";522;"Договор купли-продажи";"11.2007";"11.2007";79,00;0,15;;"Земли населенных пунктов";;;;"Без обременения";;;"05411000000";"Приморский край";;"Лесозаводск";;"9 Января";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6451535637
"655253001";"Земельный участок";"25:28:020038";400;"Договор купли-продажи";"12.2014";"12.2014";100000,00;250,00;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"05401376000";"Приморский край";;"Владивосток";;"Рейдовая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6451535653
