"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"22706011";"Земельный участок";"14:14:050003";936;"Договор купли-продажи";"06.2009";"06.2009";320000,00;341,88;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"98227501000";"Республика Саха (Якутия)";"Ленский";"Ленск";;"Пихтовая";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449195732
"25395009";"Земельный участок";"14:26:008001";2517;"Договор купли-продажи";"04.2011";"04.2011";370000,00;147,00;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98248875001";"Республика Саха (Якутия)";"Сунтарский";;"Эльгяй";"Октябрьская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449195733
"16874010";"Земельный участок";"14:21:010004";4100;"Договор купли-продажи";"05.2014";"05.2014";429408,50;104,73;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226805001";"Республика Саха (Якутия)";"Нюрбинский";;"Акана";"Советская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449195754
"3727601";"Земельный участок";"14:36:102051";800;"Договор купли-продажи";"04.2013";"04.2013";4865,15;6,08;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";0;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Н.Чусовского";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6449195759
"20877010";"Земельный участок";"14:21:130002";1500;"Договор купли-продажи";"07.2011";"07.2011";1150000,00;766,67;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226845001";"Республика Саха (Якутия)";"Нюрбинский";;"Антоновка";"Теленкова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449195791
"56695001";"Земельный участок";"14:36:102046";247;"Договор купли-продажи";"10.2014";"10.2014";1900000,00;7692,31;"1/8";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Кедровая";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449195800
"50409013";"Земельный участок";"14:15:240002";1840;"Договор купли-продажи";"02.2014";"02.2014";79409,00;43,16;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98229809001";"Республика Саха (Якутия)";"Мегино-Кангаласский";;"Бютейдях";"Байкалова";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6449195801
"160258001";"Земельный участок";"14:35:108001";413;"Договор купли-продажи";"07.2012";"07.2012";1550000,00;3753,03;;"Земли населенных пунктов";;;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";"Марха";"Газовиков";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449195806
"10782023";"Земельный участок";"14:18:060003";1200;"Договор купли-продажи";"01.2014";"01.2014";1500000,00;1250,00;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98235825001";"Республика Саха (Якутия)";"Намский";;"Намцы";"60 лет Победы";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449195840
"131719";"Земельный участок";"14:28:005001";1500;"Договор купли-продажи";"06.2011";"09.2011";262100,00;174,73;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98250830001";"Республика Саха (Якутия)";"Томпонский";;"Кескил";"П.Алексеева";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6449195849
