"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"166415001";"Земельный участок";"14:35:108001";600;"Договор купли-продажи";"04.2014";"04.2014";3163680,00;5272,80;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";"Марха";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6448657052
"9662005";"Земельный участок";"14:25:090001";899;"Договор купли-продажи";"08.2013";"09.2013";2330613,00;2592,45;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98246815001";"Республика Саха (Якутия)";"Среднеколымский";;"Березовка";"Лесная";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6448657066
"15898015";"Земельный участок";"14:29:080001";2699;"Договор купли-продажи";"08.2015";"08.2015";700000,00;259,36;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"98252840001";"Республика Саха (Якутия)";"Усть-Алданский";;"Кептени";"им Г.Г.Никифорова";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6448657085
"15139011";"Земельный участок";"14:14:090005";1553;"Договор купли-продажи";"07.2013";"08.2013";408960,50;263,34;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"98227805001";"Республика Саха (Якутия)";"Ленский";;"Беченча";"Советская";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6448657090
"249211";"Земельный участок";"14:14:050079";658;"Договор купли-продажи";"01.2008";"01.2008";40,58;0,06;;"Земли населенных пунктов";;;;"Без обременения";;;"98227501000";"Республика Саха (Якутия)";"Ленский";"Ленск";;"Короленко";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6448657091
"13071008";"Земельный участок";"14:07:070001";1484;"Договор купли-продажи";"08.2014";"08.2014";400000,00;269,54;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98214823001";"Республика Саха (Якутия)";"Верхневилюйский";;"Андреевский";"Поповича";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6448657100
"311282001";"Земельный участок";"14:36:103004";287;"Договор купли-продажи";"03.2013";"03.2013";94669,15;329,86;;"Земли населенных пунктов";;;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Авиационная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448657113
"281902001";"Земельный участок";"14:36:104030";1200;"Договор купли-продажи";"08.2012";"08.2012";790,10;0,66;;"Земли населенных пунктов";;;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Вилюйский";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448657116
"33211014";"Земельный участок";"14:33:004001";3000;"Договор купли-продажи";"10.2012";"11.2012";421240,00;140,41;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258000000";"Республика Саха (Якутия)";"Чурапчинский";;"Толон (Бахсытского наслега)";"Солнечная";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448657154
"10571004";"Земельный участок";"14:22:130001";2024;"Договор купли-продажи";"08.2012";"04.2013";360000,00;177,87;;"Земли населенных пунктов";;;;"Без обременения";;;"98239827001";"Республика Саха (Якутия)";"Оймяконский";;"Орто-Балаган";"Набережная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448657167
