"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"45773004";"Земельный участок";"65:04:0000013";600;"Договор купли-продажи";"10.2014";"10.2014";397894,00;663,16;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Рудановского";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444342319
"56470020";"Земельный участок";"65:01:0404003";1000;"Договор купли-продажи";"05.2006";"05.2006";952680,00;952,68;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Хомутово";"Ермака";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444342392
"168567020";"Земельный участок";"65:05:0000038";1094;"Договор купли-продажи";"10.2012";"11.2012";14000000,00;12797,08;;"Земли населенных пунктов";;;;"Ипотека";;;"64208860001";"Сахалинская область";"Анивский";;"Троицкое";"Молодежная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6444342624
"92109009";"Земельный участок";"65:08:0000036";2998;"Договор купли-продажи";"11.2014";"12.2014";2376000,00;792,53;;"Земли промышленности, энергетики, транспорта";;;;"Ипотека";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;"Александра Матросова";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6444342714
"26804020";"Земельный участок";"65:01:0202001";725;"Договор купли-продажи";"09.2013";"09.2013";1587000,00;2188,97;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444342920
"189362020";"Земельный участок";"65:05:0000027";1575;"Договор купли-продажи";"04.2015";"05.2015";622918,00;395,50;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64208860004";"Сахалинская область";"Анивский";;"Успенское";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444342931
"2889004";"Земельный участок";"65:04:0000008";600;"Договор купли-продажи";"11.2012";"11.2012";1000000,00;1666,67;"1/6";"Земли населенных пунктов";;;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Пролетарская";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444342990
"194013020";"Земельный участок";"65:01:0304001";634;"Договор купли-продажи";"01.2014";"02.2014";1000000,00;1577,29;"1/2";"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444343000
"2839004";"Земельный участок";"65:04:0000018";600;"Договор купли-продажи";"09.2000";"01.2002";33000,00;55,00;;"Земли населенных пунктов";;;;"Без обременения";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"А.Матросова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444343108
"168069020";"Земельный участок";"65:01:0501002";1966;"Договор купли-продажи";"12.2013";"12.2013";16645444,00;8466,66;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Больничная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6444343302
